  EXISTS: go-basic.obo
go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
  202 GO IDs READ: ./fm7genetogo.txt
  107 GO IDs READ: ./fm12genetogo.txt
 GoSubDag: 273 sources in 1182 GOs rcnt(True). 1 alt GO IDs
 GoSubDag: namedtuple fields: NS level depth reldepth GO alt GO_name dcnt D1 childcnt REL REL_short rel id
 GoSubDag: relationships: {'part_of', 'negatively_regulates', 'regulates', 'positively_regulates'}
  EXISTS: goslim_generic.obo
goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms
# ----------------------------------------------------------------
# - Description of GO ID fields
# ----------------------------------------------------------------
# Versions:
#    go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
#    goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms

# Marker keys:
#     X -> GO is present in fm7genetogo
#     X -> GO is present in fm12genetogo

# GO Namspaces:
#     BP -> Biological Process
#     MF -> Molecular Function
#     CC -> Cellular Component

# Depth information:
#     int -> number of GO descendants
#     Dnn -> depth (maximum distance from root to node)

SECTION: Misc.
X. GO:0043087 BP     9 D05  regulation of GTPase activity
X. GO:0031647 BP     4 D03  regulation of protein stability
X. GO:0034260 BP     0 D06  negative regulation of GTPase activity
X. GO:0010468 BP  1028 D05  regulation of gene expression
.X GO:0010629 BP   339 D06  negative regulation of gene expression
XX GO:0010628 BP   193 D06  positive regulation of gene expression
X. GO:0007585 BP     9 D02  respiratory gaseous exchange by respiratory system
X. GO:0030278 BP     8 D04  regulation of ossification
.X GO:0019827 BP    31 D03  stem cell population maintenance
X. GO:0007275 BP  5250 D03  multicellular organism development
X. GO:0007417 BP   554 D04  central nervous system development
X. GO:0001822 BP   524 D04  kidney development
X. GO:0072006 BP   323 D03  nephron development
X. GO:0001656 BP   167 D05  metanephros development
X. GO:0072028 BP   136 D03  nephron morphogenesis
X. GO:0009952 BP   121 D04  anterior/posterior pattern specification
X. GO:0001501 BP   114 D04  skeletal system development
X. GO:0035148 BP   101 D03  tube formation
.X GO:0022612 BP    97 D04  gland morphogenesis
X. GO:0009948 BP    45 D04  anterior/posterior axis specification
X. GO:0009954 BP    32 D04  proximal/distal pattern formation
X. GO:0072038 BP    11 D05  mesenchymal stem cell maintenance involved in nephron morphogenesis
X. GO:0016525 BP     4 D08  negative regulation of angiogenesis
X. GO:0090189 BP     2 D06  regulation of branching involved in ureteric bud morphogenesis
X. GO:0035924 BP    20 D06  cellular response to vascular endothelial growth factor stimulus
X. GO:0010332 BP     7 D05  response to gamma radiation
X. GO:0071356 BP     6 D06  cellular response to tumor necrosis factor
X. GO:0071347 BP     4 D06  cellular response to interleukin-1
X. GO:0010225 BP     1 D06  response to UV-C
.X GO:0006351 BP   390 D09  transcription, DNA-templated
XX GO:0006355 BP   306 D09  regulation of transcription, DNA-templated
XX GO:0045892 BP   113 D10  negative regulation of transcription, DNA-templated
XX GO:0045893 BP    99 D10  positive regulation of transcription, DNA-templated
XX GO:0045944 BP    63 D11  positive regulation of transcription by RNA polymerase II
XX GO:0000122 BP    33 D11  negative regulation of transcription by RNA polymerase II
X. GO:0032088 BP     1 D12  negative regulation of NF-kappaB transcription factor activity
.X GO:0015937 BP     1 D11  coenzyme A biosynthetic process
X. GO:0030182 BP   497 D04  neuron differentiation
X. GO:0045596 BP   268 D05  negative regulation of cell differentiation
X. GO:0001708 BP   107 D03  cell fate specification
X. GO:0002062 BP    24 D04  chondrocyte differentiation
X. GO:0045665 BP    18 D06  negative regulation of neuron differentiation
X. GO:0048665 BP    15 D04  neuron fate specification
X. GO:0032330 BP    10 D06  regulation of chondrocyte differentiation
X. GO:0010976 BP    10 D08  positive regulation of neuron projection development
X. GO:0010719 BP     6 D06  negative regulation of epithelial to mesenchymal transition
.X GO:0050773 BP     6 D08  regulation of dendrite development
X. GO:0003337 BP     4 D06  mesenchymal to epithelial transition involved in metanephros morphogenesis
X. GO:0072161 BP     2 D06  mesenchymal cell differentiation involved in kidney development
X. GO:1900006 BP     0 D09  positive regulation of dendrite development
X. GO:0007165 BP  1654 D04  signal transduction
