initial_alias	converted_alias
ACOT7	GO:0000062
ACOT7	GO:0005654
ACOT7	GO:0005829
ACOT7	GO:0015937
ACOT7	GO:0016290
ACOT7	GO:0016790
ACOT7	GO:0036042
ACOT7	GO:0036114
ACOT7	GO:0036116
ACOT7	GO:0042803
ACOT7	GO:0051792
ACOT7	GO:1900535
ADHFE1	GO:0005739
ADHFE1	GO:0016491
ADHFE1	GO:0046872
ADHFE1	GO:0055114
CSMD3	GO:0005886
CSMD3	GO:0050773
DIS3L2	GO:0000175
DIS3L2	GO:0000278
DIS3L2	GO:0000287
DIS3L2	GO:0000291
DIS3L2	GO:0000932
DIS3L2	GO:0003723
DIS3L2	GO:0004540
DIS3L2	GO:0005737
DIS3L2	GO:0008266
DIS3L2	GO:0008285
DIS3L2	GO:0010587
DIS3L2	GO:0019827
DIS3L2	GO:0034427
DIS3L2	GO:0051306
ESPN	GO:0003779
ESPN	GO:0005515
ESPN	GO:0005902
ESPN	GO:0030034
ESPN	GO:0032420
ESPN	GO:0051015
ESPN	GO:0051017
ID1	GO:0005634
ID1	GO:0005737
ID1	GO:0045892
ID1	GO:0046983
LINGO1	GO:0005515
LOC107306796	nan
LOC107309790	GO:0016616
LOC107309790	GO:0051287
LOC107309790	GO:0055114
LOC107322896	nan
LOC107324427	nan
LOC107325817	GO:0045095
LOC116652929	nan
LOC116654328	nan
LOC116654426	nan
NFIC	GO:0000122
NFIC	GO:0000978
NFIC	GO:0001228
NFIC	GO:0001650
NFIC	GO:0003700
NFIC	GO:0005634
NFIC	GO:0005654
NFIC	GO:0006355
NFIC	GO:0045944
NFIC	GO:1990837
PIN4	GO:0003677
PIN4	GO:0003755
PIN4	GO:0005654
PIN4	GO:0005694
PIN4	GO:0005730
PIN4	GO:0006364
PLAG1	GO:0000978
PLAG1	GO:0001228
PLAG1	GO:0005654
PLAG1	GO:0005813
PLAG1	GO:0005829
PLAG1	GO:0006351
PLAG1	GO:0010628
PLAG1	GO:0010629
PLAG1	GO:0016607
PLAG1	GO:0022612
PLAG1	GO:0035264
PLAG1	GO:0035265
PLAG1	GO:0045944
PLAG1	GO:0060252
PLAG1	GO:0060736
PROB1	nan
QRICH1	GO:0003677
QRICH1	GO:0005634
QRICH1	GO:0005654
QRICH1	GO:0030968
QRICH1	GO:0034976
QRICH1	GO:0036499
QRICH1	GO:0043065
QRICH1	GO:0045893
QRICH1	GO:0070059
QRICH1	GO:0140467
SLC25A28	GO:0005739
SLC6A8	nan
TLX1	GO:0000981
TLX1	GO:0003677
TLX1	GO:0003700
TLX1	GO:0006355
TOP2A	GO:0000228
TOP2A	GO:0000287
TOP2A	GO:0000775
TOP2A	GO:0000793
TOP2A	GO:0002244
TOP2A	GO:0003677
TOP2A	GO:0003682
TOP2A	GO:0003918
TOP2A	GO:0005080
TOP2A	GO:0005524
TOP2A	GO:0005634
TOP2A	GO:0005654
TOP2A	GO:0005730
TOP2A	GO:0005737
TOP2A	GO:0005814
TOP2A	GO:0006259
TOP2A	GO:0006265
TOP2A	GO:0006266
TOP2A	GO:0006974
TOP2A	GO:0007059
TOP2A	GO:0007143
TOP2A	GO:0008022
TOP2A	GO:0008094
TOP2A	GO:0008301
TOP2A	GO:0009330
TOP2A	GO:0019899
TOP2A	GO:0030261
TOP2A	GO:0030263
TOP2A	GO:0032991
TOP2A	GO:0040016
TOP2A	GO:0042752
TOP2A	GO:0042803
TOP2A	GO:0042826
TOP2A	GO:0043065
TOP2A	GO:0043130
TOP2A	GO:0045870
TOP2A	GO:0045944
TOP2A	GO:0046982
TOP2A	GO:1905463
TOP2A	GO:1990904
