  EXISTS: go-basic.obo
go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
  61 GO IDs READ: ff7genetogo.txt
  168 GO IDs READ: ff12genetogo.txt
  35 GO IDs READ: fm7genetogo.txt
  246 GO IDs READ: fm12genetogo.txt
 GoSubDag: 430 sources in 1781 GOs rcnt(True). 1 alt GO IDs
 GoSubDag: namedtuple fields: NS level depth reldepth GO alt GO_name dcnt D1 childcnt REL REL_short rel id
 GoSubDag: relationships: {'negatively_regulates', 'part_of', 'regulates', 'positively_regulates'}
  EXISTS: goslim_generic.obo
goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms
# ----------------------------------------------------------------
# - Description of GO ID fields
# ----------------------------------------------------------------
# Versions:
#    go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
#    goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms

# Marker keys:
#     X -> GO is present in ff7genetogo
#     X -> GO is present in ff12genetogo
#     X -> GO is present in fm7genetogo
#     X -> GO is present in fm12genetogo

# GO Namspaces:
#     BP -> Biological Process
#     MF -> Molecular Function
#     CC -> Cellular Component

# Depth information:
#     int -> number of GO descendants
#     Dnn -> depth (maximum distance from root to node)

SECTION: Misc.
...X GO:0060271 BP    29 D07  cilium assembly
...X GO:1905515 BP     3 D08  non-motile cilium assembly
.X.. GO:0042391 BP   132 D03  regulation of membrane potential
.X.. GO:0001508 BP    76 D04  action potential
.X.. GO:0043388 BP    11 D05  positive regulation of DNA binding
.X.. GO:1904798 BP     0 D07  positive regulation of core promoter binding
...X GO:0019222 BP  3242 D03  regulation of metabolic process
.X.X GO:0010468 BP  1028 D05  regulation of gene expression
.X.X GO:0010629 BP   339 D06  negative regulation of gene expression
...X GO:0006508 BP   249 D05  proteolysis
.X.X GO:0010628 BP   193 D06  positive regulation of gene expression
.X.. GO:0030203 BP    35 D05  glycosaminoglycan metabolic process
.X.. GO:0001503 BP    32 D02  ossification
...X GO:0030278 BP     8 D04  regulation of ossification
.X.. GO:0001974 BP     7 D03  blood vessel remodeling
.X.. GO:0003016 BP     5 D03  respiratory system process
.X.. GO:0044241 BP     4 D03  lipid digestion
.X.. GO:0032713 BP     0 D08  negative regulation of interleukin-4 production
X... GO:0007399 BP  1256 D04  nervous system development
..XX GO:0009887 BP   982 D03  animal organ morphogenesis
...X GO:0001655 BP   618 D04  urogenital system development
.X.X GO:0001822 BP   524 D04  kidney development
.X.. GO:0007507 BP   447 D04  heart development
.X.X GO:0007420 BP   415 D04  brain development
...X GO:0009791 BP   382 D02  post-embryonic development
.X.. GO:0003007 BP   197 D04  heart morphogenesis
.X.. GO:0030900 BP   193 D03  forebrain development
.X.X GO:0001654 BP   176 D05  eye development
.X.. GO:0001568 BP   168 D03  blood vessel development
.X.X GO:0009952 BP   121 D04  anterior/posterior pattern specification
.X.. GO:0001501 BP   114 D04  skeletal system development
...X GO:0022612 BP    97 D04  gland morphogenesis
.X.. GO:0043010 BP    92 D06  camera-type eye development
.X.. GO:0007517 BP    87 D04  muscle organ development
.X.. GO:0043583 BP    65 D05  ear development
...X GO:0048565 BP    59 D04  digestive tract development
...X GO:0051216 BP    59 D04  cartilage development
.XX. GO:0048705 BP    59 D04  skeletal system morphogenesis
.X.. GO:0043588 BP    53 D04  skin development
..X. GO:0009953 BP    43 D04  dorsal/ventral pattern formation
.X.. GO:0021549 BP    42 D03  cerebellum development
...X GO:0001525 BP    39 D03  angiogenesis
.X.. GO:0001657 BP    37 D08  ureteric bud development
...X GO:0021987 BP    36 D03  cerebral cortex development
.X.. GO:0072010 BP    33 D07  glomerular epithelium development
...X GO:0009954 BP    32 D04  proximal/distal pattern formation
...X GO:0031018 BP    22 D03  endocrine pancreas development
.X.. GO:0048644 BP    21 D04  muscle organ morphogenesis
.X.. GO:0048844 BP    21 D05  artery morphogenesis
...X GO:0003197 BP    20 D05  endocardial cushion development
..X. GO:0060441 BP    20 D07  epithelial tube branching involved in lung morphogenesis
...X GO:0072189 BP    15 D04  ureter development
.X.. GO:0048339 BP    13 D05  paraxial mesoderm development
.X.X GO:0042475 BP    13 D05  odontogenesis of dentin-containing tooth
.X.. GO:0021772 BP    12 D03  olfactory bulb development
.X.. GO:0001945 BP    11 D03  lymph vessel development
...X GO:0001658 BP    11 D07  branching involved in ureteric bud morphogenesis
...X GO:0048854 BP     9 D04  brain morphogenesis
.X.. GO:0055010 BP     8 D06  ventricular cardiac muscle tissue morphogenesis
...X GO:0021756 BP     4 D03  striatum development
.X.. GO:0016525 BP     4 D08  negative regulation of angiogenesis
...X GO:0030325 BP     3 D05  adrenal gland development
...X GO:0021766 BP     3 D03  hippocampus development
...X GO:0048621 BP     2 D04  post-embryonic digestive tract morphogenesis
.X.. GO:0036342 BP     0 D03  post-anal tail morphogenesis
.X.. GO:0032808 BP     0 D05  lacrimal gland development
.X.. GO:0021759 BP     0 D04  globus pallidus development
.X.X GO:0001958 BP     0 D04  endochondral ossification
.X.. GO:1901491 BP     0 D06  negative regulation of lymphangiogenesis
...X GO:0071773 BP    29 D06  cellular response to BMP stimulus
.X.. GO:1990869 BP    22 D06  cellular response to chemokine
...X GO:0071281 BP     6 D06  cellular response to iron ion
...X GO:0044321 BP     3 D05  response to leptin
.X.. GO:0071364 BP     0 D06  cellular response to epidermal growth factor stimulus
.X.. GO:0071321 BP     0 D07  cellular response to cGMP
.X.. GO:0071320 BP     0 D07  cellular response to cAMP
...X GO:0008104 BP   705 D03  protein localization
...X GO:0033365 BP   315 D05  protein localization to organelle
...X GO:0072657 BP   147 D05  protein localization to membrane
.X.. GO:0019915 BP    14 D03  lipid storage
.X.X GO:0006351 BP   390 D09  transcription, DNA-templated
.XXX GO:0006355 BP   306 D09  regulation of transcription, DNA-templated
...X GO:0006412 BP   231 D07  translation
...X GO:0045892 BP   113 D10  negative regulation of transcription, DNA-templated
XX.. GO:0045893 BP    99 D10  positive regulation of transcription, DNA-templated
XX.X GO:0045944 BP    63 D11  positive regulation of transcription by RNA polymerase II
XX.X GO:0000122 BP    33 D11  negative regulation of transcription by RNA polymerase II
X... GO:0006783 BP    11 D07  heme biosynthetic process
X... GO:0006264 BP     4 D08  mitochondrial DNA replication
.X.X GO:0006811 BP   929 D04  ion transport
.X.. GO:0030001 BP   136 D06  metal ion transport
.X.. GO:0006813 BP    46 D06  potassium ion transport
.X.. GO:0032410 BP    44 D06  negative regulation of transporter activity
...X GO:0006821 BP    10 D07  chloride transport
...X GO:0050482 BP     3 D10  arachidonic acid secretion
...X GO:0015937 BP     1 D11  coenzyme A biosynthetic process
...X GO:0030154 BP  2407 D03  cell differentiation
...X GO:0022008 BP   691 D04  neurogenesis
...X GO:0048666 BP   296 D04  neuron development
.X.. GO:0048762 BP    79 D04  mesenchymal cell differentiation
.X.. GO:0072148 BP    41 D04  epithelial cell fate commitment
...X GO:0045666 BP    20 D06  positive regulation of neuron differentiation
...X GO:0045665 BP    18 D06  negative regulation of neuron differentiation
.X.. GO:0014031 BP    14 D04  mesenchymal cell development
.X.. GO:0014032 BP    13 D05  neural crest cell development
.X.. GO:0060231 BP    11 D05  mesenchymal to epithelial transition
...X GO:0045444 BP     9 D04  fat cell differentiation
...X GO:0001649 BP     9 D04  osteoblast differentiation
.X.. GO:0010718 BP     8 D06  positive regulation of epithelial to mesenchymal transition
...X GO:0001570 BP     7 D04  vasculogenesis
...X GO:0003323 BP     4 D07  type B pancreatic cell development
...X GO:0050873 BP     3 D05  brown fat cell differentiation
...X GO:0003198 BP     3 D07  epithelial to mesenchymal transition involved in endocardial cushion formation
.X.. GO:0045198 BP     2 D06  establishment of epithelial cell apical/basal polarity
...X GO:0045603 BP     2 D07  positive regulation of endothelial cell differentiation
...X GO:0060842 BP     2 D07  arterial endothelial cell differentiation
..X. GO:0048711 BP     1 D10  positive regulation of astrocyte differentiation
...X GO:0045669 BP     0 D06  positive regulation of osteoblast differentiation
.X.. GO:0045618 BP     0 D08  positive regulation of keratinocyte differentiation
...X GO:0060930 BP     0 D07  sinoatrial node cell fate commitment
...X GO:2001214 BP     0 D06  positive regulation of vasculogenesis
...X GO:0060931 BP     0 D07  sinoatrial node cell development
..XX GO:0007165 BP  1654 D04  signal transduction
..X. GO:0007166 BP   719 D05  cell surface receptor signaling pathway
...X GO:0035556 BP   376 D05  intracellular signal transduction
..X. GO:0009968 BP   308 D06  negative regulation of signal transduction
X... GO:0007186 BP   174 D05  G protein-coupled receptor signaling pathway
...X GO:0019221 BP   113 D06  cytokine-mediated signaling pathway
...X GO:0030509 BP    28 D08  BMP signaling pathway
.X.. GO:0070098 BP    21 D07  chemokine-mediated signaling pathway
.X.X GO:0007219 BP    18 D06  Notch signaling pathway
...X GO:0050848 BP    16 D07  regulation of calcium-mediated signaling
