HS3ST2	GO:0008146
IRF2BPL	GO:0000122
IRF2BPL	GO:0005654
IRF2BPL	GO:0007399
IRF2BPL	GO:0045944
IRF2BPL	GO:0061630
KIAA1210	nan
LOC107307715	GO:0004341
LOC107307715	GO:0005509
LOC107307715	GO:0005634
LOC107307715	GO:0005737
LOC107307715	GO:0008270
LOC107307715	GO:0019853
LOC107307715	GO:0030234
LOC107318988	GO:0004930
LOC107318988	GO:0004968
LOC107318988	GO:0007186
LOC107318988	GO:0016021
LOC107318988	GO:0016500
LOC107318989	GO:0003700
LOC107318989	GO:0046983
LOC107318991	nan
LOC107321106	nan
LOC107325303	GO:0000166
LOC107325303	GO:0003676
LOC107325303	GO:0004812
LOC107325303	GO:0004813
LOC107325303	GO:0005524
LOC107325303	GO:0006419
LOC107325303	GO:0043039
LOC116653897	nan
MGME1	GO:0000002
MGME1	GO:0005739
MGME1	GO:0006264
MGME1	GO:0008297
MGME1	GO:0043504
PGRMC1	GO:0005741
PGRMC1	GO:0006783
PGRMC1	GO:0020037
PGRMC1	GO:0042803
RUNDC1	GO:0001701
SNX5	GO:0005829
SNX5	GO:0006886
SNX5	GO:0006907
SNX5	GO:0030904
SNX5	GO:0031234
SNX5	GO:0031313
SNX5	GO:0031901
SNX5	GO:0034452
SNX5	GO:0035091
SNX5	GO:0042147
SNX5	GO:0043231
SNX5	GO:0045893
SNX5	GO:0046628
SNX5	GO:0048471
SNX5	GO:0070685
SNX5	GO:0097422
SOX17	nan
SPDYA	GO:0000082
SPDYA	GO:0005634
SPDYA	GO:0005654
SPDYA	GO:0006974
SPDYA	GO:0007140
SPDYA	GO:0008284
SPDYA	GO:0019901
SPDYA	GO:0030295
SPDYA	GO:0045737
SPDYA	GO:0045860
