ABHD11	nan
ACOT7	GO:0000062
ACOT7	GO:0005654
ACOT7	GO:0005829
ACOT7	GO:0015937
ACOT7	GO:0016290
ACOT7	GO:0016790
ACOT7	GO:0036042
ACOT7	GO:0036114
ACOT7	GO:0036116
ACOT7	GO:0042803
ACOT7	GO:0051792
ACOT7	GO:1900535
BBS2	GO:0001103
BBS2	GO:0005515
BBS2	GO:0005902
BBS2	GO:0007288
BBS2	GO:0007601
BBS2	GO:0008104
BBS2	GO:0010629
BBS2	GO:0014824
BBS2	GO:0016020
BBS2	GO:0021756
BBS2	GO:0021766
BBS2	GO:0021987
BBS2	GO:0030534
BBS2	GO:0031514
BBS2	GO:0032420
BBS2	GO:0033210
BBS2	GO:0033365
BBS2	GO:0034464
BBS2	GO:0036064
BBS2	GO:0038108
BBS2	GO:0040015
BBS2	GO:0040018
BBS2	GO:0042311
BBS2	GO:0043001
BBS2	GO:0044321
BBS2	GO:0045444
BBS2	GO:0045494
BBS2	GO:0048854
BBS2	GO:0051216
BBS2	GO:0060271
BBS2	GO:0060296
BBS2	GO:1905515
BMP6	GO:0000122
BMP6	GO:0001649
BMP6	GO:0001654
BMP6	GO:0001822
BMP6	GO:0001938
BMP6	GO:0001958
BMP6	GO:0003323
BMP6	GO:0006879
BMP6	GO:0006954
BMP6	GO:0006955
BMP6	GO:0008083
BMP6	GO:0010628
BMP6	GO:0010862
BMP6	GO:0030154
BMP6	GO:0030501
BMP6	GO:0030509
BMP6	GO:0030539
BMP6	GO:0031666
BMP6	GO:0032349
BMP6	GO:0043117
BMP6	GO:0045603
BMP6	GO:0045666
BMP6	GO:0045669
BMP6	GO:0045944
BMP6	GO:0046982
BMP6	GO:0050679
BMP6	GO:0050731
BMP6	GO:0060391
BMP6	GO:0060395
BMP6	GO:0060586
BMP6	GO:0070700
BMP6	GO:0071281
BMP6	GO:0071773
BMP6	GO:1903392
BMP6	GO:2000048
BTBD17	GO:0005515
CELA3B	GO:0004252
CELA3B	GO:0006508
ESPN	GO:0003779
ESPN	GO:0005515
ESPN	GO:0051015
ESPN	GO:0051017
FOXL2	nan
GABRA3	GO:0004888
GABRA3	GO:0004890
GABRA3	GO:0005216
GABRA3	GO:0005230
GABRA3	GO:0006811
GABRA3	GO:0006821
GABRA3	GO:0007214
GABRA3	GO:0016020
GABRA3	GO:0016021
GABRA3	GO:0034220
KDM3B	GO:0005654
KY	nan
LOC107314253	nan
LOC107314254	nan
LOC107315039	nan
LOC107319226	nan
LOC107319878	nan
LOC107320921	nan
LOC107321537	GO:0005515
LOC107321537	GO:0008270
LOC107322710	GO:0005198
LOC107322710	GO:0005923
LOC107322710	GO:0016021
LOC107325817	GO:0045095
LOC116653392	nan
MARCHF2	GO:0005783
MARCHF2	GO:0005829
MARCHF2	GO:0008270
MARCHF2	GO:0016567
MARCHF2	GO:0031410
MARCHF2	GO:0061630
MSX2	GO:0000122
MSX2	GO:0000981
MSX2	GO:0003677
MSX2	GO:0005829
MSX2	GO:0006355
MSX2	GO:0016607
MSX2	GO:0043565
MSX2	GO:1990837
NCR3LG1	nan
NEUROG3	GO:0000122
NEUROG3	GO:0000978
NEUROG3	GO:0001227
NEUROG3	GO:0005634
NEUROG3	GO:0006355
NEUROG3	GO:0022008
NEUROG3	GO:0031018
NEUROG3	GO:0045944
NEUROG3	GO:0046983
NKX2-3	GO:0000981
NKX2-3	GO:0001776
NKX2-3	GO:0002317
NKX2-3	GO:0003677
NKX2-3	GO:0006355
NKX2-3	GO:0006641
NKX2-3	GO:0006955
NKX2-3	GO:0009791
NKX2-3	GO:0022612
NKX2-3	GO:0030183
NKX2-3	GO:0030225
NKX2-3	GO:0042127
NKX2-3	GO:0042475
NKX2-3	GO:0043367
NKX2-3	GO:0045944
NKX2-3	GO:0048535
NKX2-3	GO:0048536
NKX2-3	GO:0048537
NKX2-3	GO:0048541
NKX2-3	GO:0048565
NKX2-3	GO:0048621
NKX2-3	GO:0050900
NKX2-3	GO:1990837
PACSIN1	GO:0005515
PACSIN1	GO:0005543
PACSIN1	GO:0005737
PACSIN1	GO:0007015
PACSIN1	GO:0008092
PACSIN1	GO:0030137
PACSIN1	GO:0032587
PACSIN1	GO:0042802
PACSIN1	GO:0045806
PACSIN1	GO:0048488
PACSIN1	GO:0048666
PACSIN1	GO:0072657
PACSIN1	GO:0097320
PACSIN1	GO:0098684
PACSIN1	GO:0098833
PBX1	GO:0000977
PBX1	GO:0000978
PBX1	GO:0000981
PBX1	GO:0001228
PBX1	GO:0001655
PBX1	GO:0001658
PBX1	GO:0003677
PBX1	GO:0003700
PBX1	GO:0005634
PBX1	GO:0005654
PBX1	GO:0005667
PBX1	GO:0005737
PBX1	GO:0006355
PBX1	GO:0008284
PBX1	GO:0009887
PBX1	GO:0009952
PBX1	GO:0009954
PBX1	GO:0010971
PBX1	GO:0030278
PBX1	GO:0030325
PBX1	GO:0030326
PBX1	GO:0035162
PBX1	GO:0042127
PBX1	GO:0043565
PBX1	GO:0045665
PBX1	GO:0045944
PBX1	GO:0048536
PBX1	GO:0048538
PBX1	GO:0048568
PBX1	GO:0048706
PBX1	GO:0090575
PBX1	GO:1990837
PIN4	GO:0003677
PIN4	GO:0003755
PIN4	GO:0005654
PIN4	GO:0005694
PIN4	GO:0005730
PIN4	GO:0006364
PLA2G12B	GO:0004623
PLA2G12B	GO:0005509
PLA2G12B	GO:0005576
PLA2G12B	GO:0006644
PLA2G12B	GO:0016042
PLA2G12B	GO:0050482
PLAG1	GO:0000978
PLAG1	GO:0001228
PLAG1	GO:0005654
PLAG1	GO:0005813
PLAG1	GO:0005829
PLAG1	GO:0006351
PLAG1	GO:0010628
PLAG1	GO:0010629
PLAG1	GO:0016607
PLAG1	GO:0022612
PLAG1	GO:0035264
PLAG1	GO:0035265
PLAG1	GO:0045944
PLAG1	GO:0060252
PLAG1	GO:0060736
PMVK	GO:0004631
PMVK	GO:0005737
PMVK	GO:0006695
QARS1	GO:0000166
QARS1	GO:0004812
QARS1	GO:0004819
QARS1	GO:0004860
QARS1	GO:0005524
QARS1	GO:0005737
QARS1	GO:0005829
QARS1	GO:0006412
QARS1	GO:0006418
QARS1	GO:0006425
QARS1	GO:0006469
QARS1	GO:0007420
QARS1	GO:0017101
QARS1	GO:0019901
QARS1	GO:0032873
QARS1	GO:0032991
QARS1	GO:0043039
QARS1	GO:0045892
QARS1	GO:2001234
QRICH1	GO:0005654
SH2B2	GO:0001725
SH2B2	GO:0001726
SH2B2	GO:0001922
SH2B2	GO:0005068
SH2B2	GO:0005884
SH2B2	GO:0007165
SH2B2	GO:0008286
SH2B2	GO:0019221
SH2B2	GO:0019222
SH2B2	GO:0030036
SH2B2	GO:0035556
SH2B2	GO:0035591
SH2B2	GO:0050776
SH2B2	GO:0050851
SH2B2	GO:0050873
SLC6A8	nan
SRP54	GO:0003924
SRP54	GO:0005525
SRP54	GO:0005634
SRP54	GO:0005737
SRP54	GO:0005786
SRP54	GO:0005829
SRP54	GO:0006614
SRP54	GO:0008312
SRP54	GO:0019003
SRP54	GO:0030851
SRP54	GO:0030942
SRP54	GO:0043021
SRP54	GO:0045047
SRP54	GO:0048500
TBX18	GO:0003700
TBX18	GO:0005634
TBX18	GO:0005654
TBX18	GO:0006355
TBX18	GO:0060930
TBX18	GO:0060931
TBX18	GO:0072189
TBX18	GO:0098907
TBX18	GO:1990837
TLX1	GO:0000981
TLX1	GO:0003677
TLX1	GO:0003700
TLX1	GO:0006355
TMEM100	GO:0001525
TMEM100	GO:0001570
TMEM100	GO:0001701
TMEM100	GO:0003197
TMEM100	GO:0003198
TMEM100	GO:0005783
TMEM100	GO:0005886
TMEM100	GO:0007219
TMEM100	GO:0030509
TMEM100	GO:0043204
TMEM100	GO:0043491
TMEM100	GO:0045603
TMEM100	GO:0048471
TMEM100	GO:0050848
TMEM100	GO:0051930
TMEM100	GO:0060842
TMEM100	GO:0071773
TMEM100	GO:2001214
TRIM41	nan
TSHZ2	GO:0003677
TSHZ2	GO:0010468
YIPF4	GO:0005783
YIPF4	GO:0005794
YIPF4	GO:0005886
YIPF4	GO:0016020
YIPF4	GO:0043231
