GO:0042391 BP   132 D03  regulation of membrane potential
GO:0001508 BP    76 D04  action potential
GO:0043388 BP    11 D05  positive regulation of DNA binding
GO:1904798 BP     0 D07  positive regulation of core promoter binding
GO:0030203 BP    35 D05  glycosaminoglycan metabolic process
GO:0001503 BP    32 D02  ossification
GO:0001974 BP     7 D03  blood vessel remodeling
GO:0003016 BP     5 D03  respiratory system process
GO:0044241 BP     4 D03  lipid digestion
GO:0032713 BP     0 D08  negative regulation of interleukin-4 production
GO:0007507 BP   447 D04  heart development
GO:0003007 BP   197 D04  heart morphogenesis
GO:0030900 BP   193 D03  forebrain development
GO:0001568 BP   168 D03  blood vessel development
GO:0001501 BP   114 D04  skeletal system development
GO:0043010 BP    92 D06  camera-type eye development
GO:0007517 BP    87 D04  muscle organ development
GO:0043583 BP    65 D05  ear development
GO:0043588 BP    53 D04  skin development
GO:0021549 BP    42 D03  cerebellum development
GO:0001657 BP    37 D08  ureteric bud development
GO:0072010 BP    33 D07  glomerular epithelium development
GO:0048644 BP    21 D04  muscle organ morphogenesis
GO:0048844 BP    21 D05  artery morphogenesis
GO:0048339 BP    13 D05  paraxial mesoderm development
GO:0021772 BP    12 D03  olfactory bulb development
GO:0001945 BP    11 D03  lymph vessel development
GO:0055010 BP     8 D06  ventricular cardiac muscle tissue morphogenesis
GO:0016525 BP     4 D08  negative regulation of angiogenesis
GO:0036342 BP     0 D03  post-anal tail morphogenesis
GO:0032808 BP     0 D05  lacrimal gland development
GO:0021759 BP     0 D04  globus pallidus development
GO:1901491 BP     0 D06  negative regulation of lymphangiogenesis
GO:1990869 BP    22 D06  cellular response to chemokine
GO:0071364 BP     0 D06  cellular response to epidermal growth factor stimulus
GO:0071321 BP     0 D07  cellular response to cGMP
GO:0071320 BP     0 D07  cellular response to cAMP
GO:0019915 BP    14 D03  lipid storage
GO:0030001 BP   136 D06  metal ion transport
GO:0006813 BP    46 D06  potassium ion transport
GO:0032410 BP    44 D06  negative regulation of transporter activity
GO:0048762 BP    79 D04  mesenchymal cell differentiation
GO:0072148 BP    41 D04  epithelial cell fate commitment
GO:0014031 BP    14 D04  mesenchymal cell development
GO:0014032 BP    13 D05  neural crest cell development
GO:0060231 BP    11 D05  mesenchymal to epithelial transition
GO:0010718 BP     8 D06  positive regulation of epithelial to mesenchymal transition
GO:0045198 BP     2 D06  establishment of epithelial cell apical/basal polarity
GO:0045618 BP     0 D08  positive regulation of keratinocyte differentiation
GO:0070098 BP    21 D07  chemokine-mediated signaling pathway
GO:0038084 BP    12 D08  vascular endothelial growth factor signaling pathway
GO:0048010 BP     8 D08  vascular endothelial growth factor receptor signaling pathway
