GO:0060271 BP    29 D07  cilium assembly
GO:1905515 BP     3 D08  non-motile cilium assembly
GO:0019222 BP  3242 D03  regulation of metabolic process
GO:0006508 BP   249 D05  proteolysis
GO:0030278 BP     8 D04  regulation of ossification
GO:0001655 BP   618 D04  urogenital system development
GO:0009791 BP   382 D02  post-embryonic development
GO:0022612 BP    97 D04  gland morphogenesis
GO:0048565 BP    59 D04  digestive tract development
GO:0051216 BP    59 D04  cartilage development
GO:0001525 BP    39 D03  angiogenesis
GO:0021987 BP    36 D03  cerebral cortex development
GO:0009954 BP    32 D04  proximal/distal pattern formation
GO:0031018 BP    22 D03  endocrine pancreas development
GO:0003197 BP    20 D05  endocardial cushion development
GO:0072189 BP    15 D04  ureter development
GO:0001658 BP    11 D07  branching involved in ureteric bud morphogenesis
GO:0048854 BP     9 D04  brain morphogenesis
GO:0021756 BP     4 D03  striatum development
GO:0030325 BP     3 D05  adrenal gland development
GO:0021766 BP     3 D03  hippocampus development
GO:0048621 BP     2 D04  post-embryonic digestive tract morphogenesis
GO:0071773 BP    29 D06  cellular response to BMP stimulus
GO:0071281 BP     6 D06  cellular response to iron ion
GO:0044321 BP     3 D05  response to leptin
GO:0008104 BP   705 D03  protein localization
GO:0033365 BP   315 D05  protein localization to organelle
GO:0072657 BP   147 D05  protein localization to membrane
GO:0006412 BP   231 D07  translation
GO:0045892 BP   113 D10  negative regulation of transcription, DNA-templated
GO:0006821 BP    10 D07  chloride transport
GO:0050482 BP     3 D10  arachidonic acid secretion
GO:0015937 BP     1 D11  coenzyme A biosynthetic process
GO:0030154 BP  2407 D03  cell differentiation
GO:0022008 BP   691 D04  neurogenesis
GO:0048666 BP   296 D04  neuron development
GO:0045666 BP    20 D06  positive regulation of neuron differentiation
GO:0045665 BP    18 D06  negative regulation of neuron differentiation
GO:0045444 BP     9 D04  fat cell differentiation
GO:0001649 BP     9 D04  osteoblast differentiation
GO:0001570 BP     7 D04  vasculogenesis
GO:0003323 BP     4 D07  type B pancreatic cell development
GO:0050873 BP     3 D05  brown fat cell differentiation
GO:0003198 BP     3 D07  epithelial to mesenchymal transition involved in endocardial cushion formation
GO:0045603 BP     2 D07  positive regulation of endothelial cell differentiation
GO:0060842 BP     2 D07  arterial endothelial cell differentiation
GO:0045669 BP     0 D06  positive regulation of osteoblast differentiation
GO:0060930 BP     0 D07  sinoatrial node cell fate commitment
GO:2001214 BP     0 D06  positive regulation of vasculogenesis
GO:0060931 BP     0 D07  sinoatrial node cell development
GO:0035556 BP   376 D05  intracellular signal transduction
GO:0019221 BP   113 D06  cytokine-mediated signaling pathway
GO:0030509 BP    28 D08  BMP signaling pathway
GO:0050848 BP    16 D07  regulation of calcium-mediated signaling
GO:0008286 BP    12 D08  insulin receptor signaling pathway
GO:0043491 BP     3 D06  protein kinase B signaling
GO:0060395 BP     3 D05  SMAD protein signal transduction
GO:0033210 BP     1 D07  leptin-mediated signaling pathway
GO:0060391 BP     0 D08  positive regulation of SMAD protein signal transduction
GO:0038108 BP     0 D10  negative regulation of appetite by leptin-mediated signaling pathway
GO:0006955 BP   752 D02  immune response
GO:0050776 BP   455 D04  regulation of immune response
GO:0043367 BP    39 D09  CD4-positive, alpha-beta T cell differentiation
GO:0030851 BP    18 D06  granulocyte differentiation
GO:0050851 BP    13 D09  antigen receptor-mediated signaling pathway
GO:0030225 BP     8 D06  macrophage differentiation
GO:0048538 BP     3 D05  thymus development
GO:0002317 BP     3 D10  plasma cell differentiation
GO:0048537 BP     2 D05  mucosa-associated lymphoid tissue development
GO:0048536 BP     1 D05  spleen development
GO:0048541 BP     1 D06  Peyer's patch development
GO:0048535 BP     0 D05  lymph node development
GO:0006954 BP   168 D04  inflammatory response
GO:0032873 BP     5 D09  negative regulation of stress-activated MAPK cascade
GO:0016567 BP    64 D09  protein ubiquitination
GO:0006469 BP    20 D10  negative regulation of protein kinase activity
GO:0050731 BP     7 D10  positive regulation of peptidyl-tyrosine phosphorylation
GO:0010862 BP     0 D10  positive regulation of pathway-restricted SMAD protein phosphorylation
GO:0030539 BP     3 D05  male genitalia development
GO:0016042 BP   191 D04  lipid catabolic process
GO:0006644 BP   178 D05  phospholipid metabolic process
GO:0006641 BP    17 D07  triglyceride metabolic process
GO:0006695 BP     6 D07  cholesterol biosynthetic process
GO:0051792 BP     0 D09  medium-chain fatty acid biosynthetic process
GO:0032349 BP     0 D10  positive regulation of aldosterone biosynthetic process
GO:1900535 BP     0 D10  palmitic acid biosynthetic process
GO:0034220 BP   536 D05  ion transmembrane transport
GO:0050900 BP   158 D05  leukocyte migration
GO:0060296 BP     1 D08  regulation of cilium beat frequency involved in ciliary motility
GO:0007214 BP     1 D04  gamma-aminobutyric acid signaling pathway
GO:0031666 BP     0 D07  positive regulation of lipopolysaccharide-mediated signaling pathway
GO:0048568 BP   137 D04  embryonic organ development
GO:0048706 BP    10 D05  embryonic skeletal system development
GO:0035162 BP     8 D06  embryonic hemopoiesis
GO:0030326 BP     6 D05  embryonic limb morphogenesis
GO:2001234 BP    23 D08  negative regulation of apoptotic signaling pathway
GO:0001776 BP    37 D05  leukocyte homeostasis
GO:0045494 BP     0 D02  photoreceptor cell maintenance
GO:0001922 BP     0 D08  B-1 B cell homeostasis
GO:0060586 BP     0 D10  multicellular organismal iron ion homeostasis
GO:0050679 BP    17 D06  positive regulation of epithelial cell proliferation
