chrom	start	end	p-value
NC_029516.1	2538	2539	0.843252487052157
NC_029516.1	8989	8990	0.360774524746751
NC_029516.1	9219	9220	0.361622289900497
NC_029516.1	9230	9231	0.309167646497237
NC_029516.1	9237	9238	0.146299558174709
NC_029516.1	9281	9282	0.548238067601334
NC_029516.1	31392	31393	0.409330086023502
NC_029516.1	31429	31430	0.201953244603492
NC_029516.1	39913	39914	0.272310589289502
NC_029516.1	39916	39917	0.2228685030072
NC_029516.1	39921	39922	0.183710589239607
NC_029516.1	39938	39939	0.0989909326576639
NC_029516.1	40020	40021	0.516667211475523
NC_029516.1	40051	40052	0.245175613407815
NC_029516.1	92466	92467	0.990552471847153
NC_029516.1	92477	92478	0.372687742195567
NC_029516.1	92538	92539	0.645926953948574
NC_029516.1	122598	122599	0.434279019340667
NC_029516.1	141687	141688	0.993223448201314
NC_029516.1	141691	141692	0.632924761063621
NC_029516.1	145627	145628	0.836671687648169
NC_029516.1	145628	145629	0.549549125583437
NC_029516.1	145647	145648	0.970920105835612
NC_029516.1	145649	145650	0.268227881092288
NC_029516.1	145650	145651	0.0225999081846649
NC_029516.1	145654	145655	0.905590314915755
NC_029516.1	145678	145679	0.323663470637723
NC_029516.1	146100	146101	0.205202717093564
NC_029516.1	146118	146119	0.490082947302412
NC_029516.1	146130	146131	0.318152982973406
NC_029516.1	146141	146142	0.312126985375889
NC_029516.1	155843	155844	0.631075826774927
NC_029516.1	155845	155846	0.703452324026341
NC_029516.1	155850	155851	0.424080932717522
NC_029516.1	155873	155874	0.467037864032352
NC_029516.1	155893	155894	0.699248954106788
NC_029516.1	155896	155897	0.129978042986803
NC_029516.1	171220	171221	0.144349866133043
NC_029516.1	171236	171237	0.351470651934612
NC_029516.1	171274	171275	0.797940190992978
NC_029516.1	171537	171538	0.280764247033067
NC_029516.1	171542	171543	0.190310205409444
NC_029516.1	203579	203580	0.0617568016531604
NC_029516.1	203604	203605	0.985802618020892
NC_029516.1	223971	223972	0.380746497065322
NC_029516.1	271231	271232	0.496145458150725
NC_029516.1	271313	271314	0.0105607330607473
NC_029516.1	271314	271315	0.383406752848564
NC_029516.1	280455	280456	0.180039327596461
NC_029516.1	291579	291580	0.00114283300365708
NC_029516.1	296019	296020	0.379843475108045
NC_029516.1	296033	296034	0.897847504999155
NC_029516.1	296034	296035	0.914665032224741
NC_029516.1	296093	296094	0.394372718331226
NC_029516.1	296118	296119	0.2776370524474
NC_029516.1	296957	296958	0.488050225784538
NC_029516.1	297368	297369	0.159166312821391
NC_029516.1	297372	297373	0.790486344574255
NC_029516.1	297388	297389	0.113768972993542
NC_029516.1	297414	297415	0.278624895808322
NC_029516.1	297416	297417	0.145385238044487
NC_029516.1	297426	297427	0.424811731624145
NC_029516.1	297431	297432	0.0415009624215903
NC_029516.1	297437	297438	0.0201602628755739
NC_029516.1	297447	297448	0.73146388442045
NC_029516.1	299509	299510	0.37838877757593
NC_029516.1	299521	299522	0.70273960418769
NC_029516.1	299547	299548	0.553685259042367
NC_029516.1	388434	388435	0.145546955730389
NC_029516.1	398842	398843	0.186799988934254
NC_029516.1	398889	398890	0.734814101769055
NC_029516.1	398892	398893	0.140714821336519
NC_029516.1	399179	399180	0.165069061289236
NC_029516.1	399195	399196	0.176495796238965
NC_029516.1	406136	406137	0.5963729935314
NC_029516.1	406176	406177	0.105595444570933
NC_029516.1	425524	425525	0.712390416257804
NC_029516.1	437061	437062	0.808714493083258
NC_029516.1	437077	437078	0.627878018926787
NC_029516.1	437079	437080	0.988439241343324
NC_029516.1	454515	454516	0.121897455860899
NC_029516.1	454565	454566	0.0525715321997831
NC_029516.1	459607	459608	0.908767779862181
NC_029516.1	459633	459634	0.619469850240838
NC_029516.1	460183	460184	0.608218153477437
NC_029516.1	460198	460199	0.930826818223397
NC_029516.1	460826	460827	0.240240961640465
NC_029516.1	461744	461745	0.0587782155867675
NC_029516.1	461771	461772	0.357420416729752
NC_029516.1	468980	468981	0.386895986490523
NC_029516.1	474646	474647	0.207165836569283
NC_029516.1	474661	474662	0.571068852460737
NC_029516.1	474719	474720	0.0807332469907645
NC_029516.1	475378	475379	0.351210063162199
NC_029516.1	475396	475397	0.708799309126396
NC_029516.1	475426	475427	0.483258007457278
NC_029516.1	475967	475968	0.919588160956094
NC_029516.1	475993	475994	0.454055488757491
NC_029516.1	476017	476018	0.7369142540433
NC_029516.1	476021	476022	0.0382014196997838
NC_029516.1	476027	476028	0.139037378111768
NC_029516.1	521849	521850	0.113719832631836
NC_029516.1	521863	521864	0.0423352897428939
NC_029516.1	521864	521865	0.0359949061087564
NC_029516.1	623761	623762	0.185426728550042
NC_029516.1	664420	664421	0.87975990702035
NC_029516.1	664428	664429	0.527143140441426
NC_029516.1	664436	664437	0.717913396258258
NC_029516.1	664459	664460	0.159122414348906
NC_029516.1	664473	664474	0.376976350659357
NC_029516.1	684600	684601	0.113147908444548
NC_029516.1	684605	684606	0.0706098217590511
NC_029516.1	688311	688312	0.363814579522354
NC_029516.1	688349	688350	0.961156944290061
NC_029516.1	692329	692330	0.00158478524673802
NC_029516.1	692362	692363	0.137246246236787
NC_029516.1	708921	708922	0.423488533620599
NC_029516.1	708929	708930	0.349539002297811
NC_029516.1	708932	708933	0.03637764809656
NC_029516.1	708950	708951	0.348950166035704
NC_029516.1	708984	708985	0.0426009390165095
NC_029516.1	708994	708995	0.129782992092936
NC_029516.1	708995	708996	0.827375020043075
NC_029516.1	709000	709001	0.735115222278206
NC_029516.1	709001	709002	0.917750821237755
NC_029516.1	709004	709005	0.353783109938073
NC_029516.1	714690	714691	0.600464264364574
NC_029516.1	714750	714751	0.799762340538254
NC_029516.1	714751	714752	0.690467451536977
NC_029516.1	723260	723261	0.248167721921944
NC_029516.1	881171	881172	0.883596919225585
NC_029516.1	881192	881193	0.716352856597621
NC_029516.1	881249	881250	0.0794202386440076
NC_029516.1	1206512	1206513	0.538233035610081
NC_029516.1	1206521	1206522	0.192972230220272
NC_029516.1	1206565	1206566	0.723000004481236
NC_029516.1	1579585	1579586	0.37592949236279
NC_029516.1	1579586	1579587	0.964632400159661
NC_029516.1	1579611	1579612	0.349185674093332
NC_029516.1	1597646	1597647	0.517202806936793
NC_029516.1	1785363	1785364	0.280302186100927
NC_029516.1	2050915	2050916	0.504091392898651
NC_029516.1	2050935	2050936	0.164494006857111
NC_029516.1	2050995	2050996	0.320702772944671
NC_029516.1	2157910	2157911	0.649205921712798
NC_029516.1	2425760	2425761	0.737261525469996
