NC_029517.1	115735891	115735892	NC_029517.1	rtracklayer	promoter	115734564	115737863	.	+	.	tx_name=XM_015856167.2;gene_id=OSR2;ID=XM_015856167.2
NC_029518.1	10166430	10166431	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443573.1;gene_id=SPDYA;ID=XM_032443573.1
NC_029518.1	10166430	10166431	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443574.1;gene_id=SPDYA;ID=XM_032443574.1
NC_029518.1	10166430	10166431	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443575.1;gene_id=SPDYA;ID=XM_032443575.1
NC_029518.1	10166430	10166431	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443576.1;gene_id=SPDYA;ID=XM_032443576.1
NC_029518.1	10166431	10166432	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443573.1;gene_id=SPDYA;ID=XM_032443573.1
NC_029518.1	10166431	10166432	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443574.1;gene_id=SPDYA;ID=XM_032443574.1
NC_029518.1	10166431	10166432	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443575.1;gene_id=SPDYA;ID=XM_032443575.1
NC_029518.1	10166431	10166432	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443576.1;gene_id=SPDYA;ID=XM_032443576.1
NC_029518.1	10166441	10166442	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443573.1;gene_id=SPDYA;ID=XM_032443573.1
NC_029518.1	10166441	10166442	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443574.1;gene_id=SPDYA;ID=XM_032443574.1
NC_029518.1	10166441	10166442	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443575.1;gene_id=SPDYA;ID=XM_032443575.1
NC_029518.1	10166441	10166442	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443576.1;gene_id=SPDYA;ID=XM_032443576.1
NC_029518.1	10166442	10166443	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443573.1;gene_id=SPDYA;ID=XM_032443573.1
NC_029518.1	10166442	10166443	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443574.1;gene_id=SPDYA;ID=XM_032443574.1
NC_029518.1	10166442	10166443	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443575.1;gene_id=SPDYA;ID=XM_032443575.1
NC_029518.1	10166442	10166443	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443576.1;gene_id=SPDYA;ID=XM_032443576.1
NC_029518.1	10166447	10166448	NC_029518.1	rtracklayer	promoter	10165539	10168838	.	-	.	tx_name=XM_032443573.1;gene_id=SPDYA;ID=XM_032443573.1
